"","raw.x","raw.y","pass"
"2072","United National Liberation Front","United National Liberation Front","Duplicate"
"2082","United National Liberation Front","United National Liberation Front","Duplicate"
"2092","United National Liberation Front","United National Liberation Front","Duplicate"
"2102","United National Liberation Front","United National Liberation Front","Duplicate"
"2142","Palestine Liberation Front","Palestine Liberation Front","Duplicate"
"2162","Lorenzo Zelaya Revolutionary Front","Lorenzo Zelaya Revolutionary Front","Duplicate"
"2172","National Revolutionary Front","National Revolutionary Front","Duplicate"
"2202","Hamas","Hamas","Duplicate"
"2212","Hamas","Hamas","Duplicate"
"2232","Hezbollah","Hezbollah","Duplicate"
"2242","Hezbollah","Hezbollah","Duplicate"
"2252","Hezbollah","Hezbollah","Duplicate"
"2262","Hezbollah","Hezbollah","Duplicate"
"2272","Hezbollah","Hezbollah","Duplicate"
"2282","Hezbollah","Hezbollah","Duplicate"
"2292","Turkish Hezbollah","Turkish Hezbollah","Duplicate"
"2302","Turkish Hezbollah","Turkish Hezbollah","Duplicate"
"2312","Takfir wa Hijra","Takfir wa Hijra","Duplicate"
"2432","Kach","Kach","Duplicate"
"2442","Kakumaru","Kakumaru","Duplicate"
"2452","Kakumaru","Kakumaru","Duplicate"
"251","Khmer Rouge","Khmer Rouge","Duplicate"
"2631","Quintin Lame","Quintin Lame","Duplicate"
"2641","Quintin Lame","Quintin Lame","Duplicate"
"2651","Quintin Lame","Quintin Lame","Duplicate"
"285","Montoneros Patria Libre","Montoneros Patria Libre","Duplicate"
"2881","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate"
"289","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate"
"290","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate"
"291","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate"
"292","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate"
"293","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate"
"294","White Patriot Party","White Patriot Party","Duplicate"
"295","White Patriot Party","White Patriot Party","Duplicate"
"2961","Shining Path","Shining Path","Duplicate"
"2971","Shining Path","Shining Path","Duplicate"
"298","Shining Path","Shining Path","Duplicate"
"299","Shining Path","Shining Path","Duplicate"
"300","Shining Path","Shining Path","Duplicate"
"301","Revolutionary Solidarity","Revolutionary Solidarity","Duplicate"
"302","White Wolves","White Wolves","Duplicate"
"3031","White Wolves","White Wolves","Duplicate"
"3041","White Wolves","White Wolves","Duplicate"
"3051","White Wolves","White Wolves","Duplicate"
"3061","White Wolves","White Wolves","Duplicate"
"921","Revolutionary Organization 17 November  17N ","Revolutionary Organization 17 November (17N)","Partial"
"931","People s Revolutionary Army  Argentina ","People's Revolutionary Army (Argentina)","Partial"
"94","People s Liberation Army of Kurdistan  ARGK ","People's Liberation Army of Kurdistan (ARGK)","Partial"
"951","Armenian Secret Army for the Liberation of Armenia  ASALA ","Armenian Secret Army for the Liberation of Armenia (ASALA)","Partial"
"961","Armenian Secret Army for the Liberation of Armenia  ASALA ","Armenian Secret Army for the Liberation of Armenia (ASALA)","Partial"
"971","Simon Bolivar Guerilla Coordinating Board  CGSB ","Simon Bolivar Guerilla Coordinating Board (CGSB)","Partial"
"981","Simon Bolivar Guerilla Coordinating Board  CGSB ","Simon Bolivar Guerilla Coordinating Board (CGSB)","Partial"
"99","Simon Bolivar Guerilla Coordinating Board  CGSB ","Simon Bolivar Guerilla Coordinating Board (CGSB)","Partial"
"100","Simon Bolivar Guerilla Coordinating Board  CGSB ","Simon Bolivar Guerilla Coordinating Board (CGSB)","Partial"
"101","Simon Bolivar Guerilla Coordinating Board  CGSB ","Simon Bolivar Guerilla Coordinating Board (CGSB)","Partial"
"102","Democratic Front for the Liberation of Palestine  DFLP ","Democratic Front for the Liberation of Palestine (DFLP)","Partial"
"103","Revolutionary People s Struggle  ELA ","Revolutionary People's Struggle (ELA)","Partial"
"1041","Revolutionary People s Struggle  ELA ","Revolutionary People's Struggle (ELA)","Partial"
"105","People s Liberation Forces  El Salvador ","People's Liberation Forces (El Salvador)","Partial"
"106","People s Liberation Forces  El Salvador ","People's Liberation Forces (El Salvador)","Partial"
"107","Popular Liberation Army  EPL ","Popular Liberation Army (EPL)","Partial"
"108","Popular Liberation Army  EPL ","Popular Liberation Army (EPL)","Partial"
"109","Eritrean People s Liberation Front  EPLF ","Eritrean People's Liberation Front (EPLF)","Partial"
"110","Eritrean People s Liberation Front  EPLF ","Eritrean People's Liberation Front (EPLF)","Partial"
"111","Revolutionary Eelam Organization  EROS ","Revolutionary Eelam Organization (EROS)","Partial"
"112","Revolutionary Eelam Organization  EROS ","Revolutionary Eelam Organization (EROS)","Partial"
"113","Revolutionary Eelam Organization  EROS ","Revolutionary Eelam Organization (EROS)","Partial"
"1141","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"115","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"116","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"117","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"118","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"119","Basque Fatherland and Freedom  ETA ","Basque Fatherland and Freedom (ETA)","Partial"
"120","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"121","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"122","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"1232","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"1242","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"1251","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"1261","Revolutionary Armed Forces of Colombia  FARC ","Revolutionary Armed Forces of Colombia (FARC)","Partial"
"1271","Morazanist Front for the Liberation of Honduras  FMLH ","Morazanist Front for the Liberation of Honduras (FMLH)","Partial"
"1281","Morazanist Front for the Liberation of Honduras  FMLH ","Morazanist Front for the Liberation of Honduras (FMLH)","Partial"
"1292","First of October Antifascist Resistance Group  GRAPO ","First of October Antifascist Resistance Group (GRAPO)","Partial"
"1301","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"1311","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"1321","Hizbul Mujahideen  HM ","Hizbul Mujahideen (HM)","Partial"
"1331","Islami Chhatra Shibir  ICS ","Islami Chhatra Shibir (ICS)","Partial"
"1341","Iparretarrak  IK ","Iparretarrak (IK)","Partial"
"1351","Irish National Liberation Army  INLA ","Irish National Liberation Army (INLA)","Partial"
"1361","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"1371","Irish People s Liberation Organization  IPLO ","Irish People's Liberation Organization (IPLO)","Partial"
"1381","Irish Republican Army  IRA ","Irish Republican Army (IRA)","Partial"
