"","raw.y","raw.x","pass","groupid"
"35","Anarkhiki Omadha 20 Louli","Anarkhiki Omadha 20 Louli","Duplicate",251
"36","Andres Castro United Front (FUAC)","Andres Castro United Front (FUAC)","Duplicate",6
"37","Angry Brigade","Angry Brigade","Duplicate",208
"38","Angry Brigade","Angry Brigade","Duplicate",208
"39","Animal Liberation Front (ALF)","Animal Liberation Front (ALF)","Duplicate",116
"40","Animal Liberation Front (ALF)","Animal Liberation Front  ALF ","Partial",116
"41","Ansar Allah","Ansar Allah","Duplicate",357
"42","Ansar Allah","Ansar Allah","Duplicate",357
"43","Ansar al-Islam","Ansar al-Islam","Duplicate",358
"44","Ansar al-Jihad","Ansar al-Jihad","Duplicate",359
"45","Ansar al-Sunnah Army","Ansar al-Sunnah Army","Duplicate",360
"46","Anti-Authority Erotic Cells","Anti-Authority Erotic Cells","Duplicate",252
"47","Anti-Authority Erotic Cells","Anti Authority Erotic Cells","Partial",252
"48","Anti-Capitalist Attack Nuclei (NAA)","Anti-Capitalist Attack Nuclei (NAA)","Duplicate",209
"49","Anti-Communist Command (KAK)","Anti-Communist Command (KAK)","Duplicate",632
"50","Anti-Mainstream Self Determination Faction","Anti-Mainstream Self Determination Faction","Duplicate",253
"51","Anti-Olympic Flame","Anti-Olympic Flame","Duplicate",254
"52","Anti-Power Struggle","Anti Power Struggle","Partial",255
"53","Anti-Power Struggle","Anti-Power Struggle","Duplicate",255
"54","Anti-Racist Guerrilla Nuclei","Anti-Racist Guerrilla Nuclei","Duplicate",210
"55","Anti-State Action","Anti State Action","Partial",256
"56","Anti-State Action","Anti-State Action","Duplicate",256
"57","Anti-State Defense","Anti-State Defense","Duplicate",257
"58","Anti-State Nuclei","Anti-State Nuclei","Duplicate",258
"59","Anti-Zionist Movement","Anti-Zionist Movement","Duplicate",211
"60","Apo's Revenge Hawks","Apo's Revenge Hawks","Duplicate",362
"61","Apo's Youth Revenge Brigades","Apo s Youth Revenge Brigades","Partial",363
"62","Apo's Youth Revenge Brigades","Apo's Youth Revenge Brigades","Duplicate",363
"63","Arbav Martyrs of Khuzestan","Arbav Martyrs of Khuzestan","Duplicate",367
"64","Armata Corsa","Armata Corsa","Duplicate",163
"65","Armata Corsa","Armata Corsa","Duplicate",163
"66","Armata di Liberazione Naziunale","Armata di Liberazione Naziunale","Duplicate",164
"67","Armata di Liberazione Naziunale","Armata di Liberazione Naziunale","Duplicate",164
"68","Armed Forces Revolutionary Council (AFRC)","Armed Forces Revolutionary Council  AFRC ","Partial",642
"69","Armed Forces Revolutionary Council (AFRC)","Armed Forces Revolutionary Council (AFRC)","Duplicate",642
"70","Armed Islamic Group","Armed Islamic Group","Duplicate",368
"71","Armed Islamic Group","Armed Islamic Group","Duplicate",368
"72","Armed Revolutionary Left","Armed Revolutionary Left","Duplicate",11
"73","Armed Revolutionary Left","Armed Revolutionary Left","Duplicate",11
"74","Army of God","Army of God","Duplicate",117
"75","Army of God","Army of God","Duplicate",117
"76","Army of the Corsican People","Army of the Corsican People","Duplicate",165
"77","Army of the Corsican People","Army of the Corsican People","Duplicate",165
"78","Army of the Followers of Sunni Islam","Army of the Followers of Sunni Islam","Duplicate",371
"79","Army of the Followers of Sunni Islam","Army of the Followers of Sunni Islam","Duplicate",371
"80","Aryan Nations (AN)","Aryan Nations (AN)","Duplicate",118
"81","Asbat al-Ansar","Asbat al-Ansar","Duplicate",372
"82","Autonomous Cells of Rebel Action","Autonomous Cells of Rebel Action","Duplicate",260
"83","Autonomous Cells of Rebel Action","Autonomous Cells of Rebel Action","Duplicate",260
"84","Autonomous Decorators","Autonomous Decorators","Duplicate",200
"85","Autonomous Decorators","Autonomous Decorators","Duplicate",200
"86","Babbar Khalsa International (BKI)","Babbar Khalsa International (BKI)","Duplicate",528
"87","Badr Forces","Badr Forces","Duplicate",373
"88","Bagramyan Battalion","Bagramyan Battalion","Duplicate",342
"89","Bagramyan Battalion","Bagramyan Battalion","Duplicate",342
"90","Baloch Liberation Army (BLA)","Baloch Liberation Army  BLA ","Partial",569
"91","Baloch Liberation Army (BLA)","Baloch Liberation Army (BLA)","Duplicate",569
"92","Basque Fatherland and Freedom (ETA)","Basque Fatherland and Freedom (ETA)","Duplicate",190
"93","Basque Fatherland and Freedom (ETA)","Basque Fatherland and Freedom  ETA ","Partial",190
"94","Battalion of the Martyr Abdullah Azzam","Battalion of the Martyr Abdullah Azzam","Duplicate",374
"95","Bersatu","Bersatu","Duplicate",612
"96","Bersatu","Bersatu","Duplicate",612
"97","Birsa Commando Force (BCF)","Birsa Commando Force (BCF)","Duplicate",530
"98","Black Panthers (West Bank/Gaza)","Black Panthers (West Bank/Gaza)","Duplicate",377
"99","Black Star","Black Star","Duplicate",261
"100","Black Star","Black Star","Duplicate",261
"101","Black Widows","Black Widows","Duplicate",333
"102","Black Widows","Black Widows","Duplicate",333
"103","Black and Red Brigades","Black and Red Brigades","Duplicate",262
"104","Bolivarian Liberation Forces (FBL)","Bolivarian Liberation Forces (FBL)","Duplicate",15
"105","Borok National Council of Tripura (BNCT)","Borok National Council of Tripura  BNCT ","Partial",532
"106","Borok National Council of Tripura (BNCT)","Borok National Council of Tripura (BNCT)","Duplicate",532
"107","Breton Revolutionary Army (ARB)","Breton Revolutionary Army  ARB ","Partial",167
"108","Breton Revolutionary Army (ARB)","Breton Revolutionary Army (ARB)","Duplicate",167
"109","Brigades of Imam al-Hassan al-Basri","Brigades of Imam al-Hassan al-Basri","Duplicate",379
"110","Brigades of Martyr Ahmed Yassin","Brigades of Martyr Ahmed Yassin","Duplicate",380
"111","Brigades of the Victorious Lions of God","Brigades of the Victorious Lion of God","Partial",381
"112","Burma Communist Party","Burma Communist Party","Duplicate",592
"113","Burning Path","Burning Path","Duplicate",263
"114","Burning Path","Burning Path","Duplicate",263
"115","Cambodian Freedom Fighters (CFF)","Cambodian Freedom Fighters  CFF ","Partial",119
"116","Cambodian Freedom Fighters (CFF)","Cambodian Freedom Fighters (CFF)","Duplicate",119
"117","Carapaica Revolutionary Movement","Carapaica Revolutionary Movement","Duplicate",18
"118","Carapaica Revolutionary Movement","Carapaica Revolutionary Movement","Duplicate",18
"119","Catholic Reaction Force (CRF)","Catholic Reaction Force  CRF ","Partial",139
"120","Catholic Reaction Force (CRF)","Catholic Reaction Force (CRF)","Duplicate",139
"121","Caucasian Front for the Liberation of Abu Achikob","Caucasian Front for the Liberation of Abu Achikob","Duplicate",201
"122","Chaotic Attack Front","Chaotic Attack Front","Duplicate",265
"123","Chaotic Attack Front","Chaotic Attack Front","Duplicate",265
"124","Children of Fire","Children of Fire","Duplicate",266
"125","Children of Fire","Children of Fire","Duplicate",266
"126","Chukakuha","Chukakuha","Duplicate",517
"127","Chukakuha","Chukakuha","Duplicate",517
"128","Clandstini Corsi","Clandestini Corsi","Partial",168
"129","Clandstini Corsi","Clandestini Corsi","Partial",168
"130","Coalition to Save the Preserves (CSP)","Coalition to Save the Preserves  CSP ","Partial",120
"131","Coalition to Save the Preserves (CSP)","Coalition to Save the Preserves (CSP)","Duplicate",120
"132","Comando Jaramillista Morelense 23 de Mayo","Comando Jaramillista Morelense 23 de Mayo","Duplicate",23
"133","Combatant Proletarian Nucleus","Combatant Proletarian Nucleus","Duplicate",215
"134","Combatant Proletarian Nucleus","Combatant Proletarian Nucleus","Duplicate",215
"135","Commando Anarchist Group","Commando Anarchist Group","Duplicate",276
"136","Committee for the Security of the Highways","Committee for the Security of the Highways","Duplicate",382
"137","Committee for the Security of the Highways","Committee for the Security of the Highways","Duplicate",382
"138","Communist Party of India-Maoist (CPI-M)","Communist Party of India-Maoist (CPI-M)","Duplicate",533
"139","Communist Party of Nepal-Maoists (CPN-M)","Communist Party of Nepal-Maoists (CPN-M)","Duplicate",611
"140","Communist Revolutionaries in Europe","Communist Revolutionaries in Europe","Duplicate",154
"141","Communist Revolutionaries in Europe","Communist Revolutionaries in Europe","Duplicate",154
"142","Communist Workers Movement","Communist Workers Movement","Duplicate",383
"143","Communist Workers Movement","Communist Workers Movement","Duplicate",383
"144","Communists Liberation Faction","Communists Liberation Faction","Duplicate",277
"145","Communists Liberation Faction","Communists Liberation Faction","Duplicate",277
"146","Conscientious Arsonists","Conscientious Arsonists  CA ","Partial",278
"147","Consciously Enraged","Consciously Enraged","Duplicate",279
"148","Continuity Irish Republican Army (CIRA)","Continuity Irish Republican Army  CIRA ","Partial",140
"149","Continuity Irish Republican Army (CIRA)","Continuity Irish Republican Army (CIRA)","Duplicate",140
"150","Cooperative of Hand-made Fire & Related Items","Cooperative of Hand-Made Fire & Related Items","Duplicate",216
"151","Cypriot Nationalist Organization (OKE)","Cypriot Nationalist Organization (OKE)","Duplicate",331
"152","Dagestan Liberation Army","Dagestan Liberation Army","Duplicate",334
"153","Dagestan Liberation Army","Dagestan Liberation Army","Duplicate",334
"154","Dario Santillan Command","Dario Santillan Command","Duplicate",25
"155","Dario Santillan Command","Dario Santillan Command","Duplicate",25
"156","Democratic Front for the Liberation of Palestine (DFLP)","Democratic Front for the Liberation of Palestine  DFLP ","Partial",384
"157","Democratic Front for the Liberation of Palestine (DFLP)","Democratic Front for the Liberation of Palestine (DFLP)","Duplicate",384
"158","Democratic Karen Buddhist Army (DKBA)","Democratic Karen Buddhist Army (DKBA)","Duplicate",596
"159","Democratic Karen Buddhist Army (DKBA)","Democratic Karen Buddhist Army  DKBA ","Partial",596
"160","Dev Sol/DHKP-C","Dev Sol/DHKP-C","Duplicate",385
"161","Divine Wrath Brigades","Divine Wrath Brigades","Duplicate",386
"162","Divine Wrath Brigades","Divine Wrath Brigades","Duplicate",386
"163","Dukhtaran-e-Millat","Dukhtaran-e-Millat","Duplicate",534
"164","EPA (Ejercito del Pueblo en Armas)","EPA (Ejercito del Pueblo en Armas)","Duplicate",29
"165","Earth Liberation Front (ELF)","Earth Liberation Front (ELF)","Duplicate",121
"166","Earth Liberation Front (ELF)","Earth Liberation Front  ELF ","Partial",121
"167","East Turkistan Liberation Organization","East Turkistan Liberation Organization","Duplicate",514
"168","East Turkistan Liberation Organization","East Turkistan Liberation Organization","Duplicate",514
"169","Ecuadorian Rebel Force","Ecuadorian Rebel Force","Duplicate",31
"170","Ecuadorian Rebel Force","Ecuadorian Rebel Force","Duplicate",31
"171","Egyptian Islamic Jihad (EIJ) aka al Jihad","Egyptian Islamic Jihad  EIJ ","Partial",388
"172","Enraged Proletarians","Enraged Proletarians","Duplicate",280
"173","Enraged Proletarians","Enraged Proletarians","Duplicate",280
"174","Eritrean Islamic Jihad Movement (EIJM)","Eritrean Islamic Jihad Movement (EIJM)","Duplicate",489
"175","Ethnocacerista","Ethnocacerista","Duplicate",32
"176","Fighters for Freedom","Fighters for Freedom","Duplicate",281
"177","Fighters for Freedom","Fighters for Freedom","Duplicate",281
"178","Fighting Ecologist Activism","Fighting Ecologist Activism","Duplicate",282
"179","Fighting Ecologist Activism","Fighting Ecologist Activism","Duplicate",282
"180","Fighting Guerrillas of May","Fighting Guerillas of May","Partial",283
"181","Fighting Guerrillas of May","Fighting Guerillas of May","Partial",283
"182","Fires of Hell","Fires of Hell","Duplicate",284
"183","Fires of Hell","Fires of Hell","Duplicate",284
"184","First of October Antifascist Resistance Group (GRAPO)","First of October Antifascist Resistance Group  GRAPO ","Partial",191
"185","First of October Antifascist Resistance Group (GRAPO)","First of October Antifascist Resistance Group (GRAPO)","Duplicate",191
"186","Five C's","Five C's","Duplicate",219
"187","For a Revolutionary Perspective","For a Revolutionary Perspective","Duplicate",186
"188","For a Revolutionary Perspective","For a Revolutionary Perspective","Duplicate",186
"189","Francs Tireurs (Mavericks)","Francs Tireurs (Mavericks)","Duplicate",171
"190","Free Aceh Movement (GAM)","Free Aceh Movement (GAM)","Duplicate",633
"191","Free Papua Movement (OPM)","Free Papua Movement (OPM)","Duplicate",634
"192","Free People of Galilee","Free People of Galillee","Partial",392
"193","Free Vietnam Revolutionary Group","Free Vietnam Revolutionary Group","Duplicate",624
"194","Free Vietnam Revolutionary Group","Free Vietnam Revolutionary Group","Duplicate",624
"195","Freedom for Mumia Abu Jamal","Freedom for Mumia Abu Jamal","Duplicate",187
"196","Friendship Society","Friendship Society","Duplicate",285
"197","Friendship Society","Friendship Society","Duplicate",285
"198","Front for the Defenders of Islam (FPI)","Front for Defenders of Islam (FPI)","Partial",635
"199","Front for the Defenders of Islam (FPI)","Front for Defenders of Islam  FPI ","Partial",635
"200","Front for the Liberation of Cabinda Enclave","Front for the Liberation of the Cabinda Enclave","Partial",490
"201","Front for the Liberation of Cabinda Enclave","Front for the Liberation of the Cabinda Enclave","Partial",490
"202","Fronte di Liberazione Naziunale di a Corsica (FLNC)","Fronte di Liberazione Naziunale di a Corsica  FLNC ","Partial",172
"203","Fronte di Liberazione Naziunale di a Corsica (FLNC)","Fronte di Liberazione Naziunale di a Corsica (FLNC)","Duplicate",172
"204","Gazteriak","Gazteriak","Duplicate",173
"205","Gazteriak","Gazteriak","Duplicate",173
"206","Global Infitada","Global Intifada","Partial",343
"207","Global Infitada","Global Intifada","Partial",343
"208","God's Army","God's Army","Duplicate",597
"209","Grey Wolves","Grey Wolves","Duplicate",394
"210","Group Revolutionary Reconstruction","Group Revolutionary Reconstruction","Duplicate",202
"211","Group for Social Resistance to the State Mechanism","Group for Social Resistance to the State Mechanism","Duplicate",286
"212","Group of Carlo Giuiliani","Group of Carlo Giuliani","Partial",287
"213","Group of Carlo Giuiliani","Group of Carlo Giuliani","Partial",287
"214","Group of Popular Combatants (GPC)","Group of Popular Combatants (GPC)","Duplicate",36
"215","Group of Popular Combatants (GPC)","Group of Popular Combatants  GPC ","Partial",36
"216","Guevarista Revolutionary Army (ERG)","Guevarista Revolutionary Army (ERG)","Duplicate",40
"217","Guevarista Revolutionary Army (ERG)","Guevarista Revolutionary Army  ERG ","Partial",40
"218","Hamas","Hamas","Duplicate",395
"219","Hamas","Hamas","Duplicate",395
"220","Hammerskin Nation","Hammerskin Nation","Duplicate",124
"221","Harakat al-Shuhada'a al-Islamiyah","Harakat al-Shuhada'a al-Islamiyah","Duplicate",396
"222","Harakat ul-Jihad-I-Islami (HUJI)","Harakat ul-Jihad-I-Islami (HUJI)","Duplicate",570
"223","Harakat ul-Jihad-I-Islami Bangladesh (HUJI-B)","Harakat ul-Jihad-I-Islami Bangladesh (HUJI-B)","Duplicate",651
"224","Harakat ul-Mujahidin (HuM)","Harakat ul-Mudjahidin (HuM)","Partial",571
"225","Hawks of Thrace","Hawks of Thrace","Duplicate",288
"226","Hawks of Thrace","Hawks of Thrace","Duplicate",288
"227","Hezbollah","Hezbollah","Duplicate",397
"228","Hezbollah","Hezbollah","Duplicate",397
"229","Hikmatul Zihad","Hikmatul Zihad","Duplicate",587
"230","Hikmatul Zihad","Hikmatul Zihad","Duplicate",587
"231","Hindu Sena Rashtriya Sangh Party","Hindu Sena Rashtriya Sangh Party","Duplicate",536
"232","Hindu Sena Rashtriya Sangh Party","Hindu Sena Rashtriya Sangh Party","Duplicate",536
"233","Hisba","Hisba","Duplicate",644
"234","Hisba","Hisba","Duplicate",644
"235","Hizb-I Islami Gulbuddin (HIG)","Hizb-I Islami Gulbuddin (HIG)","Duplicate",503
"236","Hizb-I Islami Gulbuddin (HIG)","Hizb I Islami","Partial",503
"237","Hizbul Mujahideen (HM)","Hizbul Mujahideen (HM)","Duplicate",572
"238","Hizbul Mujahideen (HM)","Hizbul Mujahideen  HM ","Partial",572
"239","Iduwini Youths","Iduwini Youths","Duplicate",645
"240","Immediate Action","Immediate Action","Duplicate",289
"241","Indomitable Marxists","Indomitable Marxists","Duplicate",290
"242","Informal Anarchist Federation","Informal Anarchist Federation","Duplicate",220
"243","Informal Anarchist Federation","Informal Anarchist Federation","Duplicate",220
"244","International Solidarity","International Solidarity","Duplicate",221
"245","International Solidarity","International Solidarity","Duplicate",221
"246","Iparretarrak (IK)","Iparretarrak  IK ","Partial",176
"247","Iparretarrak (IK)","Iparretarrak (IK)","Duplicate",176
"248","Iraqi Revenge Brigades","Iraqi Revenge Brigades","Duplicate",398
"249","Irish National Liberation Army (INLA)","Irish National Liberation Army (INLA)","Duplicate",142
"250","Irish National Liberation Army (INLA)","Irish National Liberation Army  INLA ","Partial",142
"251","Irish Republican Army (IRA)","Irish Republican Army (IRA)","Duplicate",144
"252","Irish Republican Army (IRA)","Irish Republican Army  IRA ","Partial",144
"253","Islami Chhatra Shibir (ICS)","Islami Chhatra Shibir (ICS)","Duplicate",588
"254","Islamic Army in Iraq","Islamic Army in Iraq","Duplicate",400
"255","Islamic Army in Iraq","Islamic Army in Iraq","Duplicate",400
"256","Islamic Defense Force","Islamic Defense Force","Duplicate",537
"257","Islamic Glory Brigades in the Land of the Nile","Islamic Glory Brigades in the Land of the Nile","Duplicate",401
"258","Islamic Great Eastern Raiders Front (IBDA-C)","Islamic Great Eastern Raiders Front","Partial",402
"259","Islamic Great Eastern Raiders Front (IBDA-C)","Islamic Great Eastern Raiders Front","Partial",402
"260","Islamic Jihad Brigades","Islamic Jihad Brigades","Duplicate",403
"261","Islamic Jihad Brigades","Islamic Jihad Brigades","Duplicate",403
"262","Islamic Movement of Uzbekistan","Islamic Movement of Uzbekistan  IMU ","Partial",513
"263","Islamic Resistance Brigades","Islamic Resistance Brigades","Duplicate",404
"264","Islamic Resistance Brigades","Islamic Resistance Brigades","Duplicate",404
"265","Islamic Shashantantra Andolon (ISA)","Islamic Shashantantra Andolon (ISA)","Duplicate",589
"266","Islamic Shashantantra Andolon (ISA)","Islamic Shashantantra Andolon  ISA ","Partial",589
"267","Jagrata Muslim Janata Bangladesh","Jagrata Muslim Janata Bangladesh","Duplicate",590
"268","Jaime Bateman Cayon Group (JBC)","Jaime Bateman Cayon Group (JBC)","Duplicate",41
"269","Jaime Bateman Cayon Group (JBC)","Jaime Bateman Cayon Group  JBC ","Partial",41
"270","Jaish al-Taifa al-Mansoura","Jaish al-Taifa al-Mansoura","Duplicate",406
"271","Jaish-e-Mohammad (JeM)","Jaish-e-Mohammad (JeM)","Duplicate",573
"272","Jaish-ul-Muslimeen","Jaish-ul-Muslimin","Partial",505
"273","Jamatul Mujahedin Bangladesh","Jamatul Mujahedin Bangladesh","Duplicate",591
"274","Jamiat ul-Mujahedin (JuM)","Jamiat ul-Mujahedin (JuM)","Duplicate",574
"275","Janashakti","Janashakti","Duplicate",539
"276","Janashakti","Janashakti","Duplicate",539
"277","Japanese Red Army","Japanese Red Army","Duplicate",407
"278","Jemaah Islamiya (JI)","Jemaah Islamiya (JI)","Duplicate",636
"279","Jemaah Islamiya (JI)","Jemaah Islamiya  JI ","Partial",636
"280","Jenin Martyrs' Brigade","Jenin Martyrs  Brigade","Partial",408
"281","Jenin Martyrs' Brigade","Jenin Martyrs' Brigade","Duplicate",408
"282","Jihad Committee","Jihad Committee","Duplicate",540
"283","July 20th Brigade","July 20th Brigade","Duplicate",222
"284","July 20th Brigade","July 20th Brigade","Duplicate",222
"285","Jund Allah Organization for the Sunni Mujahideen in Iran","Jund Allah Organization for the Sunni Mujahideen in Iran","Duplicate",409
"286","Jund al-Sham","Jund al-Sham","Duplicate",506
"287","Justice Army of the Defenseless People","Justice Army of the Defenseless People","Duplicate",43
"288","Justice Army of the Defenseless People","Justice Army of the Defenseless People","Duplicate",43
"289","Kabataang Makayan (KM)","Kabataang Makayan (KM)","Duplicate",627
"290","Kach","Kach","Duplicate",411
"291","Kach","Kach","Duplicate",411
"292","Kakumaru","Kakumaru","Duplicate",520
"293","Kakurokyo","Kakurokyo","Duplicate",522
"294","Kakurokyo","Kakurokyo","Duplicate",522
"295","Kanglei Yawol Kanna Lup (KYKL)","Kanglei Yawol Kanna Lup (KYKL)","Duplicate",541
"296","Kangleipak Communist Party","Kangleipak Communist Party","Duplicate",542
"297","Karbala Brigades","Karbala Brigades","Duplicate",412
"298","Karenni National Progressive Party (KNPP)","Karenni National Progressive Party (KNPP)","Duplicate",599
"299","Kayin National Union (KNU)","Kayin National Union  KNU ","Partial",600
"300","Kayin National Union (KNU)","Kayin National Union (KNU)","Duplicate",600
"301","Kenkoku Giyugun Chosen Seibatsutai","Kenkoku Giyugun Chosen Seibatsutai","Duplicate",521
"302","Kenkoku Giyugun Chosen Seibatsutai","Kenkoku Giyugun Chosen Seibatsutai","Duplicate",521
"303","Khalistan Commando Force","Khalistan Commando Force","Duplicate",543
"304","Khmer Rouge","Khmer Rouge","Duplicate",618
"305","Knights of the Tempest","Knights of the Tempest","Duplicate",414
"306","Knights of the Torched Bank","Knights of the Torched Bank","Duplicate",291
"307","Knights of the Torched Bank","Knights of the Torched Bank","Duplicate",291
"308","Kosovo Liberation Army","Kosovo Liberation Army  KLA ","Partial",240
"309","Ku Klux Klan (KKK)","Ku Klux Klan (KKK)","Duplicate",126
"310","Kurdish Democratic Party","Kurdish Democratic Party","Duplicate",415
"311","Kurdistan Freedom Hawks","Kurdistan Freedom Hawks","Duplicate",648
"312","Kurdistan Freedom Hawks","Kurdistan Freedom Hawks","Duplicate",648
"313","Kurdistan Workers' Party (PKK)","Kurdistan Workers' Party (PKK)","Duplicate",416
"314","Kurdistan Workers' Party (PKK)","Kurdistan Workers  Party  PKK ","Partial",416
"315","Lashkar-e-Jhangvi (LeJ)","Lashkar-e-Jhangvi (LeJ)","Duplicate",576
"316","Lashkar-e-Taiba (LeT)","Lashkar-e-Taiba (LeT)","Duplicate",545
"317","Lashkar-i-Omar","Lashkar-i-Omar","Duplicate",575
"318","Laskar Jihad","Laskar Jihad","Duplicate",637
"319","Latin American Patriotic Army (EPLA)","Latin American Patriotic Army (EPLA)","Duplicate",45
"320","Leftist Nucleus","Leftist Nucleus","Duplicate",292
"321","Leftist Nucleus","Leftist Nucleus","Duplicate",292
"322","Liberation Tigers of Tamil Eelam (LTTE)","Liberation Tigers of Tamil Eelam (LTTE)","Duplicate",604
"323","Liberation Tigers of Tamil Eelam (LTTE)","Liberation Tigers of Tamil Eelam  LTTE ","Partial",604
"324","Loyalist Volunteer Force (LVF)","Loyalist Volunteer Force (LVF)","Duplicate",145
"325","Loyalist Volunteer Force (LVF)","Loyalist Volunteer Force  LVF ","Partial",145
"326","Macedonian Revolutionary Organization (VMRO)","Macedonian Revolutionary Organization (VMRO)","Duplicate",241
"327","Macedonian Revolutionary Organization (VMRO)","Macedonian Revolutionary Organization  VMRO ","Partial",241
"328","Macheteros","Macheteros","Duplicate",127
"329","Macheteros","Macheteros","Duplicate",127
"330","Mahdi Army","Mahdi Army","Duplicate",420
"331","Mahdi Army","Mahdi Army","Duplicate",420
"332","Maoist Communist Center (MCC)","Maoist Communist Center  MCC ","Partial",546
"333","Maoist Communist Center (MCC)","Maoist Communist Center (MCC)","Duplicate",546
"334","Mariano Moreno National Liberation Commando","Mariano Moreno National Liberation Commando","Duplicate",52
"335","Mariano Moreno National Liberation Commando","Mariano Moreno National Liberation Commando","Duplicate",52
"336","Martyr Abu-Ali Mustafa Brigades","Martyr Abu-Ali Mustafa Brigades","Duplicate",421
"337","Martyr Abu-Ali Mustafa Brigades","Martyr Abu Ali Mustafa Brigades","Partial",421
"338","Melting Nuclei","Melting Nuclei","Duplicate",296
"339","Melting Nuclei","Melting Nuclei","Duplicate",296
"340","Midnight Saboteurs","Midnight Saboteurs","Duplicate",297
"341","Midnight Saboteurs","Midnight Saboteurs","Duplicate",297
"342","Moro Islamic Liberation Front (MILF)","Moro Islamic Liberation Front (MILF)","Duplicate",628
"343","Moro National Liberation Front (MNLF)","Moro National Liberation Front  MNLF ","Partial",629
"344","Moro National Liberation Front (MNLF)","Moro National Liberation Front (MNLF)","Duplicate",629
"345","Movement Against State Arbitrariness","Movement Against State Arbitrariness","Duplicate",298
"346","Movement Against State Arbitrariness","Movement Against State Arbitrariness","Duplicate",298
"347","Movement for Democracy and Justice in Chad (MDJT)","Movement for Democracy and Justice in Chad (MDJT)","Duplicate",647
"348","Movement for Democracy and Justice in Chad (MDJT)","Movement for Democracy and Justice in Chad  MDJT ","Partial",647
"349","Movsar Baryayev Gang","Movsar Baryayev Gang","Duplicate",335
"350","Movsar Baryayev Gang","Movsar Baryayev Gang","Duplicate",335
"351","Mujahedin Shura Council","Mujahedin Shura Council","Duplicate",424
"352","Mujahedin-e-Khalq (MeK)","Mujahedin-e-Khalq (MeK)","Duplicate",423
"353","Mujahideen KOMPAK","Mujahideen KOMPAK","Duplicate",638
"354","Mujahideen Message","Mujahideen Message","Duplicate",507
"355","Mujahideen Message","Mujahideen Message","Duplicate",507
"356","Mujahideen al-Mansooran","Mujahideen al-Mansooran","Duplicate",547
"357","Mujahideen al-Mansooran","Mujahideen al Mansooran","Partial",547
"358","Muslim United Army","Muslim United Army","Duplicate",577
"359","Muslims Against Global Oppression (MAGO)","Muslims Against Global Oppression  MAGO ","Partial",497
"360","Muslims Against Global Oppression (MAGO)","Muslims Against Global Oppression (MAGO)","Duplicate",497
"361","Muttahida Qami Movement (MQM)","Muttahida Qami Movement (MQM)","Duplicate",578
"362","Muttahida Qami Movement (MQM)","Muttahida Qami Movement  MQM ","Partial",578
"363","National Army for the Liberation of Uganda (NALU)","National Army for the Liberation of Uganda  NALU ","Partial",475
